Cues,Outcomes
#L_H#_bg,question
#L_bg,question
#L_H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_L#_bg,question
bg_empty,question
#H_bg,question
#L_H#_bg,question
L#_bg,question
L#_bg,question
#H_H#_bg,question
L#_bg,question
L#_bg,question
#L_bg,question
H#_bg,question
#H_L#_bg,question
H#_bg,question
H#_bg,question
#H_bg,question
H#_bg,question
#L_H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
H#_bg,question
#L_L#_bg,question
#H_L#_bg,question
H#_bg,question
bg_empty,question
bg_empty,question
#L_bg,question
H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
L#_bg,question
#H_bg,question
H#_bg,question
bg_empty,question
H#_bg,question
#H_H#_bg,question
#L_bg,question
#H_H#_bg,question
#L_H#_bg,question
#H_H#_bg,question
#H_bg,question
H#_bg,question
L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#H_bg,question
L#_bg,question
H#_bg,question
L#_bg,question
L#_bg,question
H#_bg,question
bg_empty,question
#H_H#_bg,question
H#_bg,question
L#_bg,question
H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#L_L#_bg,question
#H_bg,question
#H_bg,question
L#_bg,question
L#_bg,question
#H_L#_bg,question
#H_L#_bg,question
#L_H#_bg,question
H#_bg,question
L#_bg,question
L#_bg,question
#H_bg,question
#H_H#_bg,question
bg_empty,question
H#_bg,question
#L_L#_bg,question
L#_bg,question
#L_bg,question
#H_L#_bg,question
bg_empty,question
#H_bg,question
#H_bg,question
L#_bg,question
#L_bg,question
#H_bg,question
L#_bg,question
#L_bg,question
H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#H_bg,question
#H_L#_bg,question
bg_empty,question
bg_empty,question
#H_L#_bg,question
bg_empty,question
L#_bg,question
#H_bg,question
#H_bg,question
bg_empty,question
#H_bg,question
#H_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#L_L#_bg,question
bg_empty,question
bg_empty,question
bg_empty,question
bg_empty,question
#L_bg,question
#H_bg,question
bg_empty,question
#H_L#_bg,question
#H_L#_bg,question
L#_bg,question
H#_bg,question
#H_bg,question
#H_bg,question
#H_L#_bg,question
#H_L#_bg,question
bg_empty,question
H#_bg,question
#L_H#_bg,question
#L_bg,question
#L_bg,question
#L_bg,question
#H_H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_L#_bg,question
#L_bg,question
bg_empty,question
#H_H#_bg,question
L#_bg,question
#H_H#_bg,question
#L_H#_bg,question
bg_empty,question
L#_bg,question
#H_L#_bg,question
#H_bg,question
L#_bg,question
#H_L#_bg,question
L#_bg,question
#H_H#_bg,question
bg_empty,question
H#_bg,question
#H_bg,question
#H_H#_bg,question
L#_bg,question
#H_bg,question
#L_bg,question
L#_bg,question
L#_bg,question
L#_bg,question
H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
bg_empty,question
#H_bg,question
#H_bg,question
#L_L#_bg,question
bg_empty,question
#H_H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_H#_bg,question
#L_H#_bg,question
#L_bg,question
bg_empty,question
#H_L#_bg,question
H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
L#_bg,question
#H_bg,question
bg_empty,question
H#_bg,question
#H_H#_bg,question
L#_bg,question
L#_bg,question
bg_empty,question
#H_bg,question
#H_L#_bg,question
H#_bg,question
#L_bg,question
H#_bg,question
#L_bg,question
#L_bg,question
L#_bg,question
#H_H#_bg,question
L#_bg,question
#H_bg,question
#L_L#_bg,question
#H_H#_bg,question
H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
L#_bg,question
H#_bg,question
H#_bg,question
#L_bg,question
H#_bg,question
#H_bg,question
#H_H#_bg,question
#L_L#_bg,question
L#_bg,question
L#_bg,question
H#_bg,question
L#_bg,question
bg_empty,question
#H_L#_bg,question
#L_L#_bg,question
#H_bg,question
#H_L#_bg,question
bg_empty,question
H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#H_L#_bg,question
L#_bg,question
#H_bg,question
#H_bg,question
#L_bg,question
bg_empty,question
H#_bg,question
H#_bg,question
#L_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#L_L#_bg,question
bg_empty,question
L#_bg,question
#H_H#_bg,question
#H_bg,question
#L_bg,question
#H_L#_bg,question
bg_empty,question
bg_empty,question
#L_bg,question
bg_empty,question
bg_empty,question
#H_H#_bg,question
bg_empty,question
#L_bg,question
#L_L#_bg,question
L#_bg,question
#H_bg,question
#H_L#_bg,question
#L_L#_bg,question
H#_bg,question
H#_bg,question
#H_H#_bg,question
H#_bg,question
#H_bg,question
bg_empty,question
#H_H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#L_L#_bg,question
#L_bg,question
H#_bg,question
bg_empty,question
L#_bg,question
#H_H#_bg,question
L#_bg,question
#H_L#_bg,question
#H_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_bg,question
H#_bg,question
H#_bg,question
#H_bg,question
#H_H#_bg,question
L#_bg,question
#H_bg,question
#H_bg,question
#H_L#_bg,question
H#_bg,question
#H_H#_bg,question
bg_empty,question
#L_bg,question
#H_H#_bg,question
#L_bg,question
#H_L#_bg,question
#L_bg,question
#L_bg,question
#H_bg,question
H#_bg,question
#H_bg,question
#H_bg,question
#L_H#_bg,question
#H_bg,question
H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
#L_bg,question
#H_L#_bg,question
bg_empty,question
#H_H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#L_L#_bg,question
L#_bg,question
bg_empty,question
#L_bg,question
#H_bg,question
#H_H#_bg,question
#H_L#_bg,question
H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#H_bg,question
bg_empty,question
#H_H#_bg,question
L#_bg,question
#H_H#_bg,question
L#_bg,question
#L_H#_bg,question
H#_bg,question
#H_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_L#_bg,question
H#_bg,question
#H_H#_bg,question
bg_empty,question
L#_bg,question
H#_bg,question
H#_bg,question
#H_L#_bg,question
L#_bg,question
bg_empty,question
#L_bg,question
H#_bg,question
#L_bg,question
#H_bg,question
#L_H#_bg,question
#H_bg,question
#H_bg,question
#L_L#_bg,question
H#_bg,question
H#_bg,question
#H_L#_bg,question
bg_empty,question
H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
L#_bg,question
L#_bg,question
#H_bg,question
L#_bg,question
#H_bg,question
#L_L#_bg,question
H#_bg,question
#H_L#_bg,question
H#_bg,question
H#_bg,question
#H_bg,question
#H_H#_bg,question
L#_bg,question
bg_empty,question
L#_bg,question
#H_L#_bg,question
#L_L#_bg,question
#L_bg,question
L#_bg,question
#H_H#_bg,question
bg_empty,question
#H_H#_bg,question
bg_empty,question
H#_bg,question
L#_bg,question
#H_H#_bg,question
#H_bg,question
bg_empty,question
#L_bg,question
bg_empty,question
#H_L#_bg,question
#H_L#_bg,question
#L_bg,question
L#_bg,question
H#_bg,question
#H_bg,question
#H_L#_bg,question
H#_bg,question
#H_bg,question
L#_bg,question
#H_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_bg,question
#H_bg,question
bg_empty,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#H_bg,question
L#_bg,question
bg_empty,question
#L_H#_bg,question
#H_bg,question
#L_bg,question
#H_H#_bg,question
H#_bg,question
#L_L#_bg,question
H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_H#_bg,question
#L_H#_bg,question
bg_empty,question
L#_bg,question
#L_L#_bg,question
#L_L#_bg,question
#L_H#_bg,question
L#_bg,question
bg_empty,question
#H_L#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_bg,question
L#_bg,question
#H_L#_bg,question
H#_bg,question
bg_empty,question
#H_H#_bg,question
#L_bg,question
bg_empty,question
#H_bg,question
#L_bg,question
#H_bg,question
#H_H#_bg,question
#H_L#_bg,question
bg_empty,question
#H_L#_bg,question
#H_bg,question
bg_empty,question
#H_bg,question
#H_L#_bg,question
#H_L#_bg,question
#L_L#_bg,question
#H_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
#H_bg,question
H#_bg,question
H#_bg,question
#H_L#_bg,question
#H_bg,question
H#_bg,question
L#_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
bg_empty,question
bg_empty,question
#L_bg,question
#L_bg,question
#L_bg,question
#L_bg,question
L#_bg,question
H#_bg,question
#H_H#_bg,question
#H_bg,question
#L_L#_bg,question
L#_bg,question
#H_L#_bg,question
bg_empty,question
#H_H#_bg,question
#L_bg,question
L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#L_bg,question
H#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
H#_bg,question
#H_bg,question
#H_H#_bg,question
H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#L_bg,question
#H_bg,question
#L_H#_bg,question
#H_H#_bg,question
#L_bg,question
H#_bg,question
bg_empty,question
#L_H#_bg,question
#H_H#_bg,question
bg_empty,question
#L_H#_bg,question
#H_L#_bg,question
bg_empty,question
bg_empty,question
H#_bg,question
#L_bg,question
bg_empty,question
L#_bg,question
bg_empty,question
#L_L#_bg,question
bg_empty,question
#H_L#_bg,question
#H_L#_bg,question
#H_H#_bg,question
bg_empty,question
#H_bg,question
bg_empty,question
L#_bg,question
L#_bg,question
#H_bg,question
#L_L#_bg,question
#H_L#_bg,question
H#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#L_H#_bg,question
#H_L#_bg,question
L#_bg,question
#H_L#_bg,question
#H_L#_bg,question
H#_bg,question
L#_bg,question
#L_L#_bg,question
#H_bg,question
H#_bg,question
#H_bg,question
L#_bg,question
H#_bg,question
#H_L#_bg,question
H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
L#_bg,question
H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_L#_bg,question
bg_empty,question
H#_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_bg,question
#L_H#_bg,question
#H_L#_bg,question
H#_bg,question
#L_bg,question
bg_empty,question
L#_bg,question
bg_empty,question
L#_bg,question
H#_bg,question
H#_bg,question
#H_H#_bg,question
H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#L_bg,question
#H_H#_bg,question
bg_empty,question
#H_bg,question
bg_empty,question
#L_L#_bg,question
L#_bg,question
L#_bg,question
#H_L#_bg,question
#H_bg,question
#H_bg,question
#H_bg,question
#L_bg,question
#H_H#_bg,question
H#_bg,question
#H_H#_bg,question
#L_H#_bg,question
H#_bg,question
#H_L#_bg,question
#L_L#_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_bg,question
#H_L#_bg,question
L#_bg,question
bg_empty,question
#H_L#_bg,question
L#_bg,question
#H_L#_bg,question
#H_bg,question
#H_L#_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
H#_bg,question
#L_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_L#_bg,question
#H_H#_bg,question
L#_bg,question
L#_bg,question
#L_bg,question
bg_empty,question
#H_bg,question
#H_H#_bg,question
#L_H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_L#_bg,question
#H_bg,question
#L_bg,question
L#_bg,question
L#_bg,question
L#_bg,question
L#_bg,question
H#_bg,question
#H_bg,question
#L_bg,question
#H_bg,question
H#_bg,question
#H_L#_bg,question
#L_bg,question
L#_bg,question
L#_bg,question
bg_empty,question
#H_L#_bg,question
L#_bg,question
#H_bg,question
H#_bg,question
bg_empty,question
#H_H#_bg,question
#L_bg,question
L#_bg,question
#H_H#_bg,question
bg_empty,question
#H_bg,question
#H_L#_bg,question
#H_bg,question
#H_H#_bg,question
L#_bg,question
H#_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_H#_bg,question
H#_bg,question
bg_empty,question
#L_L#_bg,question
L#_bg,question
#L_bg,question
#H_bg,question
L#_bg,question
bg_empty,question
H#_bg,question
#H_L#_bg,question
#H_bg,question
#H_bg,question
L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
bg_empty,question
#H_L#_bg,question
#H_bg,question
bg_empty,question
bg_empty,question
L#_bg,question
#H_bg,question
L#_bg,question
#H_L#_bg,question
#H_H#_bg,question
bg_empty,question
#H_H#_bg,question
bg_empty,question
#H_bg,question
L#_bg,question
H#_bg,question
#H_H#_bg,question
bg_empty,question
H#_bg,question
#H_H#_bg,question
L#_bg,question
#L_bg,question
L#_bg,question
L#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#H_L#_bg,question
bg_empty,question
#H_bg,question
H#_bg,question
#H_bg,question
L#_bg,question
#H_L#_bg,question
L#_bg,question
#H_bg,question
L#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#L_bg,question
#H_L#_bg,question
H#_bg,question
L#_bg,question
#H_bg,question
#H_L#_bg,question
bg_empty,question
#H_H#_bg,question
L#_bg,question
#L_bg,question
bg_empty,question
#L_bg,question
H#_bg,question
#H_H#_bg,question
#H_bg,question
#H_H#_bg,question
#L_bg,question
H#_bg,question
#H_L#_bg,question
#H_L#_bg,question
H#_bg,question
H#_bg,question
#H_H#_bg,question
#L_bg,question
L#_bg,question
#H_H#_bg,question
#L_H#_bg,question
L#_bg,question
#H_H#_bg,question
H#_bg,question
#H_L#_bg,question
#L_L#_bg,question
bg_empty,question
L#_bg,question
#H_L#_bg,question
bg_empty,question
#L_bg,question
#H_H#_bg,question
#H_H#_bg,question
H#_bg,question
#H_L#_bg,question
#L_bg,question
H#_bg,question
#L_bg,question
bg_empty,question
#H_L#_bg,question
L#_bg,question
L#_bg,question
#H_bg,question
#H_H#_bg,question
#H_bg,question
#H_bg,question
#L_L#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#L_bg,question
#L_bg,question
H#_bg,question
#H_H#_bg,question
L#_bg,question
H#_bg,question
#H_bg,question
#H_H#_bg,question
L#_bg,question
#H_L#_bg,question
H#_bg,question
L#_bg,question
#H_H#_bg,question
H#_bg,question
L#_bg,question
#H_L#_bg,question
L#_bg,question
#L_bg,question
L#_bg,question
L#_bg,question
#H_H#_bg,question
L#_bg,question
#L_bg,question
L#_bg,question
#L_bg,question
#H_bg,question
#H_L#_bg,question
bg_empty,question
H#_bg,question
bg_empty,question
#H_H#_bg,question
bg_empty,question
#H_bg,question
H#_bg,question
#H_H#_bg,question
bg_empty,question
L#_bg,question
#H_H#_bg,question
bg_empty,question
H#_bg,question
#H_L#_bg,question
#H_L#_bg,question
#H_L#_bg,question
H#_bg,question
H#_bg,question
bg_empty,question
bg_empty,question
#H_L#_bg,question
H#_bg,question
#H_bg,question
#L_L#_bg,question
H#_bg,question
bg_empty,question
#L_bg,question
#H_bg,question
#L_bg,question
#L_L#_bg,question
L#_bg,question
#H_H#_bg,question
#H_L#_bg,question
#H_L#_bg,question
#L_L#_bg,question
H#_bg,question
#H_H#_bg,question
bg_empty,question
bg_empty,question
H#_bg,question
#H_H#_bg,question
bg_empty,question
bg_empty,question
#H_H#_bg,question
#H_bg,question
H#_bg,question
bg_empty,question
#L_bg,question
L#_bg,question
#H_H#_bg,question
#L_L#_bg,question
#H_L#_bg,question
H#_bg,question
#L_H#_bg,question
L#_bg,question
#L_H#_bg,question
#L_H#_bg,question
#L_bg,question
#H_L#_bg,question
H#_bg,question
#L_bg,question
#L_bg,question
#H_H#_bg,question
bg_empty,question
#H_H#_bg,question
#H_bg,question
bg_empty,question
L#_bg,question
bg_empty,question
#H_L#_bg,question
L#_bg,question
#H_H#_bg,question
#H_bg,question
